4252#08.12.2021 14:44:05#Иван Иванов Иванович#23#140#11.05.1998#Москва
2351#03.03.2022 13:53:14#Петров Иван Александрович#21#179#04.04.2001#Трансильвания
43452#08.12.2021 15:56:27#Петр Петров Сергеевич#276#180#15.12.1745#город Будапешт
21#04.02.2022 13:41:45#Шайхуллин Марат Ильфатович#32#179#08.05.1990#Бугульма
12424#03.03.2022 14:17:33#Дронкин Василий Сергеевич#32#192#04.05.1990#Джамбул
42001#10.03.2022 9:52:14#Зарифуллин Ильнар Ильдарович#37#180#23.05.1985#Казань
10#03.03.2022 13:53:14#Петров Иван Александрович#21#179#04.04.2001#Трансильвания
11#08.12.2021 15:56:27#Петр Петров Сергеевич#276#180#15.12.1745#город Будапешт
12#04.02.2022 13:41:45#Шайхуллин Марат Ильфатович#32#179#08.05.1990#Бугульма
13#04.02.2022 13:43:16#Забегаев Сергей Иванович#901#190#04.09.1121#Казань
15#03.03.2022 15:33:04#Буторов Михаил Рудольфович#134#150#01.01.1888#Сранск
1232#10.03.2022 9:33:24#Галявиев Руслан Альбертович#101#185#08.05.1921#Токио
1216#10.03.2022 9:51:10#Рузанов Василий Сергеевич#52#179#08.01.1970#Елабуга
12156#28.03.2022 11:48:17#Пузин Василий Алибабаевич#48#189#01.08.1974#Каракум
